"Crimes, by type of violation, and by province and territory (Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Other property crime violations[4],382.94,263.38,318.2,412.42,370.22,353.34,634.6,642.07,492.93,261.69,325.07,494.29,480.86,278.98
Other Criminal Code violations,916.45,989.09,533.3,851.64,768.04,1665.17,2938.95,1503.63,1648.49,418.52,478.01,9880.3,13325.62,9491.05
Disturb the peace,290.44,363.24,214.41,163.1,213.83,705.44,603.72,482.86,987.12,6.87,43.58,7048.2,10104.79,7088.49
Administration of justice violations,489.07,463.85,218.51,487.49,370.89,792.88,2024.28,827.56,403.85,335.97,346.77,2484.77,2531.3,1896.04
Other violations[5],136.93,162.01,100.38,201.06,183.32,166.85,310.86,193.21,257.52,75.67,87.64,347.33,689.53,506.52
Criminal Code traffic violations,350.98,325.15,330.49,341.57,313.45,282.44,829.19,439.89,334.69,491.11,209.32,1397.35,1481.13,636.53
Impaired driving,200.94,260.73,263.58,281.34,238.1,217.34,575.05,314.29,248.81,183.93,110.79,1210.32,1211.21,520.06
Other Criminal Code traffic violations,150.05,64.42,66.92,60.23,75.34,65.1,254.14,125.61,85.88,307.18,98.53,187.03,269.91,116.47
Federal Statute violations,338.93,237.61,204.85,329.59,271.27,342.75,698.99,360.71,620.31,298.66,234.39,903.07,1345.04,874.89
Drug violations,268.95,204.64,161.15,290.77,209.85,232.72,314.03,301.35,473.1,254.96,198.53,502.3,1086.46,793.63
Other Federal Statutes[6],69.98,32.97,43.7,38.81,61.42,110.02,384.96,59.36,147.21,43.69,35.86,400.77,258.57,81.26
"1. Homicide data is extracted from the homicide survey. 2. Total assault includes assault level 3 aggravated, assault level 2 weapon or bodily harm, assault level 1, assault peace officer, assaulting with a weapon or causing bodily harm to a peace officer, aggravated assault to a peace officer, total other assaults. 3. Total other violent violations include total other violations causing death, total sexual violations against children, total firearms (use of, discharge, pointing), total forcible confinement or kidnapping, total abduction, extortion, Indecent/Harassing communications, total commodification of sexual activity, and total other violent violations. 4. Total other property crime violations includes total possession of stolen property, total trafficking in stolen property, fraud, identity theft, identity fraud, arson, altering, removing or destroying vehicle identification number (VIN). 5. Total other violations include counterfeiting, total weapons violations, child pornography, total prostitution, total other violations. 6. Total other federal statutes include youth criminal justice act, total other federal statutes. Source: Statistics Canada, CANSIM table 252-0051 and Catalogue no. 85-002-X. Last modified: 2016-07-20.",,,,,,,,,,,,,,
